CREDIT_LIMIT,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,AVG_BILL_AMT,AVG_PAY_AMT
0.12121212121212122,1,0.3333333333333333,0.3333333333333333,0.1206896551724138,0.2,0.2,0.2,0.2,0.2,0.2,0.17882475122952285,0.015134608366959913
0.26262626262626265,1,0.3333333333333333,0.3333333333333333,0.10344827586206896,0.2,0.2,0.2,0.4,0.2,0.2,0.08278629363326864,0.014765471577521885
0.2222222222222222,0,0.3333333333333333,0.6666666666666666,0.1206896551724138,0.2,0.2,0.4,0.4,0.2,0.2,0.07747160696996618,0.00856871955939833
0.1414141414141414,0,0.16666666666666666,0.3333333333333333,0.5172413793103449,0.2,0.2,0.2,0.2,0.2,0.2,0.17810619802140737,0.029719202917657145
0.30303030303030304,1,0.16666666666666666,0.3333333333333333,0.2413793103448276,0.1,0.1,0.1,0.1,0.1,0.1,0.0680330963036295,0.022704549241793003
0.1111111111111111,0,0.3333333333333333,0.6666666666666666,0.10344827586206896,0.2,0.2,0.2,0.2,0.2,0.2,0.0861810289810509,0.003396058462830021
0.1919191919191919,1,0.16666666666666666,0.6666666666666666,0.3103448275862069,0,0,0,0,0.1,0.1,0.060460788315724906,0.0012286981705580693
0.13131313131313133,1,0.3333333333333333,0.3333333333333333,0.43103448275862066,0.2,0.2,0.2,0.2,0.2,0.2,0.14602486865511635,0.009424589572623973
0.020202020202020204,0,0.3333333333333333,0.6666666666666666,0.25862068965517243,0.2,0.2,0.2,0.2,0.2,0.2,0.09571025163290511,0.006892838535349587
0.04040404040404041,0,0.3333333333333333,0.3333333333333333,0.3275862068965517,0.2,0.2,0.2,0.2,0.2,0.2,0.1003401342323106,0.0038474600224857
0.09090909090909091,0,0.5,0.3333333333333333,0.27586206896551724,0.2,0.2,0.2,0.2,0.2,0.1,0.08736599893359853,0.036171186658763586
0.24242424242424243,0,0.16666666666666666,0.6666666666666666,0.20689655172413793,0.1,0.5,0.4,0.1,0.1,0.1,0.062057354974213205,0.005847126744698662
0.04040404040404041,0,0.3333333333333333,0.6666666666666666,0.1206896551724138,0.2,0.2,0.2,0.2,0.2,0.2,0.10717638945583889,0.014366803844928795
0.3333333333333333,1,0.3333333333333333,0.3333333333333333,0.27586206896551724,0.3,0.1,0.1,0.1,0.2,0.1,0.06118523423156061,0.004612627853163699
0.30303030303030304,1,0.3333333333333333,0.6666666666666666,0.08620689655172414,0.2,0.2,0.2,0.2,0.2,0.2,0.10787297893517703,0.0063280592475093754
0.31313131313131315,1,0.3333333333333333,0.6666666666666666,0.1724137931034483,0,0,0,0,0,0,0.06351624655231962,0.00835251086844174
0.050505050505050504,1,0.3333333333333333,0.3333333333333333,0.25862068965517243,0.2,0.2,0.2,0.2,0.2,0.2,0.10822457716250773,0.005378850360382969
0.1919191919191919,0,0.3333333333333333,0.3333333333333333,0.1724137931034483,0.9,0.8,0.7,0.6,0.5,0.4,0.30110718621063515,0.0018077155917051771
0.1919191919191919,1,0.3333333333333333,0.6666666666666666,0.13793103448275862,0.1,0.2,0.2,0.2,0.2,0.2,0.0675413230593082,0.006591728382822255
0.08080808080808081,0,0.3333333333333333,0.3333333333333333,0.25862068965517243,0.2,0.2,0.2,0,0,0,0.07645127569979485,0.0011074103683141405
0.41414141414141414,1,0.16666666666666666,0.3333333333333333,0.1896551724137931,0.1,0.1,0,0,0,0,0.061696292701149416,1.9933386629654532e-4
0.24242424242424243,1,0.16666666666666666,0.3333333333333333,0.5517241379310345,0.2,0.2,0.2,0.2,0.2,0.2,0.2960503501518355,0.03438931064231897
0.010101010101010102,1,0.3333333333333333,0.3333333333333333,0.3448275862068966,0.2,0.2,0.2,0.2,0.2,0.1,0.06743989705975317,0.003174049050896588
0.1111111111111111,1,0.3333333333333333,0.6666666666666666,0.46551724137931033,0.2,0.2,0.2,0.2,0.2,0.4,0.14304922982310095,0.009309629829627531
0.0707070707070707,0,0.3333333333333333,0.6666666666666666,0.29310344827586204,0.2,0.2,0.2,0.2,0.2,0.2,0.12167905742390106,0.015591283309321859
0.494949494949495,1,0.16666666666666666,0.3333333333333333,0.25862068965517243,0.1,0.1,0.1,0.2,0.2,0.2,0.1053746494285324,0.10336146507227699
0.35353535353535354,0,0.16666666666666666,0.6666666666666666,0.13793103448275862,0,0,0,0,0,0,0.06004472743726861,0
0.020202020202020204,1,0.3333333333333333,0.6666666666666666,0.034482758620689655,0.3,0.4,0.2,0.2,0.2,0.2,0.09567614535488567,0.0052549258667859
0.1414141414141414,1,0.3333333333333333,0.6666666666666666,0.13793103448275862,0.2,0.2,0.2,0.2,0.2,0.2,0.1469752017002427,0.015820148118773438
0.04040404040404041,1,0.5,0.3333333333333333,0.22413793103448276,0.1,0.1,0.1,0.1,0.2,0.2,0.06647849286678807,0.007268303384035154
0.04040404040404041,0,0.5,0.3333333333333333,0.46551724137931033,0.2,0.2,0.2,0.2,0.1,0.1,0.07294654314122755,0.0034393002010213456
0.12121212121212122,1,0.5,0.3333333333333333,0.3793103448275862,0.2,0.2,0.2,0.2,0.2,0.2,0.09774252152891844,0.005299749619789101
0.12121212121212122,1,0.16666666666666666,0.3333333333333333,0.2413793103448276,0.1,0.1,0.1,0.1,0.1,0.1,0.061350230047738125,5.078267546126273e-4
